SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique
LIST_0,"",MLS Identifier,matechid,MLSID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_1,"",Internal Listing ID,techid,LISTID,26,Character,"",1,"","","","","","","","","","","",0,"",1
LIST_2,"",List Number Prefix,prefix,ListnoPrefix,2,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_3,"",List Number Main,listnbr,ListnoMain,11,Int,"",1,Number,"","","","","","","","","","",0,"",0
LIST_4,"",MLS Approved,maapproved,Approved,1,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_5,AgentID,Agent ID,metechid,AgentID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_6,"",CoList Agent ID,colistagen,CoListAgentID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_7,"",Property Group ID,propgroupi,PropGroupID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_8,"",Property Type,cardfmt,PropType,2,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_61,"",Selling Agency ID,sellagency,SellingAgencyID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_62,"",Selling Agent ID,sellagenti,SellingAgentID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_63,"",CoSelling Agent ID,cosellagen,CoSellingAgentID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_87,ModificationTimestamp,Timestamp,modtimesta,Timestamp,25,DateTime,"",1,"","","","","","","","","","","",0,"",0
LIST_104,"",Display on Public Websites,pubweb,PublicWebsites,1,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_105,ListingID,Listing ID,listingid,ListingID,13,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_106,OfficeID,Office ID,listoffice,OfficeID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_132,"",Entry Timestamp,entrydate,EntryTimestamp,25,DateTime,"",1,"","","","","","","","","","","",0,"",0
LIST_133,"",Picture Count,piccount,PicCount,11,Int,"",1,Number,"","","","","","","","","","",0,"",0
LIST_134,"",Picture Timestamp,pictimesta,PicTimestamp,25,DateTime,"",1,"","","","","","","","","","","",0,"",0
LIST_136,"",Absolute Longitude,absgeolon,Absolute Longitude,11,Int,6,1,Number,"","","","","","","","","","",0,"",0
LIST_161,"",Document Timestamp,documentti,DocTimestamp,25,DateTime,"",0,"","","","","","","","","","","",0,"",0
LIST_162,"",Document Count,documentco,DocCount,11,Int,"",0,Number,"","","","","","","","","","",0,"",0
LIST_163,"",List Office Board ID,boardid,LO Board Code ID,26,Character,"",1,"","","","","","","","","","","",0,"",0
BOARDCODE,"",List Office Board Code,boardcode,LO Board Code,150,Character,"",0,"","","","","","","","","","","",0,"",0
LIST_165,"",CoList Office ID,colistagen,CoListOfficeID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_166,"",CoSelling Agency ID,cosellagen,CoSellAgencyID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_167,"",List Agent Board ID,agentboard,LA Board Code ID,26,Character,"",1,"","","","","","","","","","","",0,"",0
LIST_168,"",List Agent Board Code,agentboard,LA Board Code,150,Character,"",1,"","","","","","","","","","","",0,"",0
