index,row,propertyTableColumn,DatabaseTableName,formatHashColumn
1,Area - Clark,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'Clark'}"
2,Area - Cody in Town,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'Cody in Town'}"
3,Area - Cody Out of Town,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'Cody Out of Town'}"
4,Area - Meeteetse,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'Meeteetse'}"
5,Area - Montana,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'Montana'}"
6,Area - N Big Horn in Town,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'N Big Horn in Town'}"
7,Area - N Big Horn Out of Town,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'N Big Horn Out of Town'}"
8,Area - Out of Area,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'Out of Area'}"
9,Area - Powell in Town,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'Powell in Town'}"
10,Area - Powell Out of Town,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'Powell Out of Town'}"
11,Area - S Big Horn in Town,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'S Big Horn in Town'}"
12,Area - S Big Horn Out of Town,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'S Big Horn Out of Town'}"
13,Area - Sunlight/Crandall,MlsArea,Mls_Area,"{table: :Mls_Area, code: 'mlsarea', label: 'Sunlight/Crandall'}"
15,Property Status - Active,PropertyStatus,Property_Status,"{table: :Property_Status, code: 'propertystatus', label: 'Active'}"
16,Property Status - Active with Contingency,PropertyStatus,Property_Status,"{table: :Property_Status, code: 'propertystatus', label: 'Active with Contingency'}"
17,Property Status - Pending,PropertyStatus,Property_Status,"{table: :Property_Status, code: 'propertystatus', label: 'Pending'}"
18,Property Status - Closed,PropertyStatus,Property_Status,"{table: :Property_Status, code: 'propertystatus', label: 'Closed'}"
19,Property Status - Withdrawn,PropertyStatus,Property_Status,"{table: :Property_Status, code: 'propertystatus', label: 'Withdrawn'}"
20,Property Status - Expired,PropertyStatus,Property_Status,"{table: :Property_Status, code: 'propertystatus', label: 'Expired'}"
21,Property Status - Temporarily Off Market,PropertyStatus,Property_Status,"{table: :Property_Status, code: 'propertystatus', label: 'Temporarily Off Market'}"
22,Property Status - Rented,PropertyStatus,Property_Status,"{table: :Property_Status, code: 'propertystatus', label: 'Rented'}"
24,Property Type - Residential,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Residential'}"
25,Property Type - Residential Non MLS,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Residential Non MLS'}"
26,Property Type - Farm/Ranch (min 35 acres),PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Farm/Ranch (min 35 acres)'}"
27,Property Type - Farm/Ranch-Land Only,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Farm/Ranch-Land Only'}"
28,Property Type - Farm/Ranch Non MLS,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Farm/Ranch Non MLS'}"
29,Property Type - Multi-Family,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Multi-Family'}"
30,Property Type - Multi-Family Non MLS,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Multi-Family Non MLS'}"
31,Property Type - Lots/Land,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Lots/Land'}"
32,Property Type - Lots/Land Non MLS,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Lots/Land Non MLS'}"
33,Property Type - Building Only,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Building Only'}"
34,Property Type - Business & Building,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Business & Building'}"
35,Property Type - Commercial Non MLS,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Commercial Non MLS'}"
36,Property Type - Business Only,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Business Only'}"
37,Property Type - Residential Lease,PropertySubType,Property_Sub_Type,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Residential Lease'}"
39,House Design - 1 Story,Style,Style,"{table: :Style, code: 'style', label: '1 Story'}"
40,House Design - 1.5 Story,Style,Style,"{table: :Style, code: 'style', label: '1.5 Story'}"
41,House Design - 2 Story,Style,Style,"{table: :Style, code: 'style', label: '2 Story'}"
42,House Design - 2.5 Story,Style,Style,"{table: :Style, code: 'style', label: '2.5 Story'}"
43,House Design - Bi-Level,Style,Style,"{table: :Style, code: 'style', label: 'Bi-Level'}"
44,House Design - Condominium,Style,Style,"{table: :Style, code: 'style', label: 'Condominium'}"
45,House Design - Singlewide,Style,Style,"{table: :Style, code: 'style', label: 'Singlewide'}"
46,House Design - Doublewide,Style,Style,"{table: :Style, code: 'style', label: 'Doublewide'}"
47,House Design - Triplewide,Style,Style,"{table: :Style, code: 'style', label: 'Triplewide'}"
48,House Design - Modular,Style,Style,"{table: :Style, code: 'style', label: 'Modular'}"
49,House Design - Multi-Level,Style,Style,"{table: :Style, code: 'style', label: 'Multi-Level'}"
50,House Design - Tri/Split Level,Style,Style,"{table: :Style, code: 'style', label: 'Tri/Split Level'}"
51,House Design - Townhouse,Style,Style,"{table: :Style, code: 'style', label: 'Townhouse'}"
52,House Design - Shop House,Style,Style,"{table: :Style, code: 'style', label: 'Shop House'}"
54,Construction - Block,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Block'}"
55,Construction - Concrete,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Concrete'}"
56,Construction - Frame,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Frame'}"
57,Construction - ICFs (Insulated Concrete Forms),ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'ICFs (Insulated Concrete Forms)'}"
58,Construction - Log,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Log'}"
59,Construction - Manufactured (Post-1976),ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Manufactured (Post-1976)'}"
60,Construction - Mobile (Pre-1976),ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Mobile (Pre-1976)'}"
61,Construction - Modular,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Modular'}"
62,Construction - Straw,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Straw'}"
63,Construction - Timber Frame,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Timber Frame'}"
64,Construction - Steel Frame,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Steel Frame'}"
65,Construction - On Permanent Foundation,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'On Permanent Foundation'}"
66,Construction - Mobile/Manufactured,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Mobile/Manufactured'}"
67,Construction - Structured Insulated Panels,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Structured Insulated Panels'}"
69,Exterior Siding - Asbestos,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Asbestos'}"
70,Exterior Siding - Aluminum,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Aluminum'}"
71,Exterior Siding - Block,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Block'}"
72,Exterior Siding - Brick,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Brick'}"
73,Exterior Siding - Cedar,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Cedar'}"
74,Exterior Siding - Cedar Shake,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Cedar Shake'}"
75,Exterior Siding - Cement Fiber,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Cement Fiber'}"
76,Exterior Siding - Combination,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Combination'}"
77,Exterior Siding - Composite Wood,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Composite Wood'}"
78,Exterior Siding - Concrete,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Concrete'}"
79,Exterior Siding - Hardboard,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Hardboard'}"
80,Exterior Siding - Log,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Log'}"
81,Exterior Siding - Log Siding,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Log Siding'}"
82,Exterior Siding - Shingle,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Shingle'}"
83,Exterior Siding - Steel,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Steel'}"
84,Exterior Siding - Stone,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Stone'}"
85,Exterior Siding - Stucco,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Stucco'}"
86,Exterior Siding - Vinyl,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Vinyl'}"
87,Exterior Siding - Wood,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Wood'}"
88,Exterior Siding - Aluminum Siding,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Aluminum Siding'}"
89,Exterior Siding - Shingle Siding,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Shingle Siding'}"
90,Exterior Siding - Steel Siding,ConstructionType,Construction_Type,"{table: :Construction_Type, code: 'constructiontype', label: 'Steel Siding'}"
