index,row
0,Area - Clark
1,Area - Cody in Town
2,Area - Cody Out of Town
3,Area - Meeteetse
4,Area - Montana
5,Area - N Big Horn in Town
6,Area - N Big Horn Out of Town
7,Area - Out of Area
8,Area - Powell in Town
9,Area - Powell Out of Town
10,Area - S Big Horn in Town
11,Area - S Big Horn Out of Town
12,Area - Sunlight/Crandall
14,Property Status - Active
15,Property Status - Active with Contingency
16,Property Status - Pending
17,Property Status - Closed
18,Property Status - Withdrawn
19,Property Status - Expired
20,Property Status - Temporarily Off Market
21,Property Status - Rented
23,Property Type - Residential
24,Property Type - Residential Non MLS
25,Property Type - Farm/Ranch (min 35 acres)
26,Property Type - Farm/Ranch-Land Only
27,Property Type - Farm/Ranch Non MLS
28,Property Type - Multi-Family
29,Property Type - Multi-Family Non MLS
30,Property Type - Lots/Land
31,Property Type - Lots/Land Non MLS
32,Property Type - Building Only
33,Property Type - Business & Building
34,Property Type - Commercial Non MLS
35,Property Type - Business Only
36,Property Type - Residential Lease
38,House Design - 1 Story
39,House Design - 1.5 Story
40,House Design - 2 Story
41,House Design - 2.5 Story
42,House Design - Bi-Level
43,House Design - Condominium
44,House Design - Singlewide
45,House Design - Doublewide
46,House Design - Triplewide
47,House Design - Modular
48,House Design - Multi-Level
49,House Design - Tri/Split Level
50,House Design - Townhouse
51,House Design - Shop House
53,Construction - Block
54,Construction - Concrete
55,Construction - Frame
56,Construction - ICFs (Insulated Concrete Forms)
57,Construction - Log
58,Construction - Manufactured (Post-1976)
59,Construction - Mobile (Pre-1976)
60,Construction - Modular
61,Construction - Straw
62,Construction - Timber Frame
63,Construction - Steel Frame
64,Construction - On Permanent Foundation
65,Construction - Mobile/Manufactured
66,Construction - Structured Insulated Panels
68,Exterior Siding - Asbestos
69,Exterior Siding - Aluminum
70,Exterior Siding - Block
71,Exterior Siding - Brick
72,Exterior Siding - Cedar
73,Exterior Siding - Cedar Shake
74,Exterior Siding - Cement Fiber
75,Exterior Siding - Combination
76,Exterior Siding - Composite Wood
77,Exterior Siding - Concrete
78,Exterior Siding - Hardboard
79,Exterior Siding - Log
80,Exterior Siding - Log Siding
81,Exterior Siding - Shingle
82,Exterior Siding - Steel
83,Exterior Siding - Stone
84,Exterior Siding - Stucco
85,Exterior Siding - Vinyl
86,Exterior Siding - Wood
87,Exterior Siding - Aluminum Siding
88,Exterior Siding - Shingle Siding
89,Exterior Siding - Steel Siding
90,Exterior Siding - Vinyl Siding
91,Exterior Siding - Wood Siding
93,Garage/Type Stalls - None
94,Garage/Type Stalls - Attached-1 Stall
95,Garage/Type Stalls - Attached-2 Stalls
96,Garage/Type Stalls - Attached-3 Stalls
97,Garage/Type Stalls - Attached-4 Stalls
98,Garage/Type Stalls - Carport-1 Stall
99,Garage/Type Stalls - Carport-2 Stalls
100,Garage/Type Stalls - Detached-1 Stall
101,Garage/Type Stalls - Detached-2 Stalls
102,Garage/Type Stalls - Detached-3 Stalls
103,Garage/Type Stalls - Detached-4 Stalls
105,Fireplace Type - Electric
106,Fireplace Type - Gas
107,Fireplace Type - Wood
108,Fireplace Type - None
110,Heating Stove Type - Coal
111,Heating Stove Type - Corn
112,Heating Stove Type - Electric
113,Heating Stove Type - Gas
114,Heating Stove Type - Pellet
115,Heating Stove Type - Wood
116,Heating Stove Type - None
118,Exterior Features - Acreage Fenced
119,Exterior Features - Adj to BLM
120,Exterior Features - Adj to Bureau of Reclamation
121,Exterior Features - Adj to National Forest
122,Exterior Features - Adj to State Land
