Area,Clark,MlsArea,mls_area,area1,"{table: :mls_area, code: ' area1', label: 'Clark '},",,,,,,,,,,
,Cody in Town,MlsArea,mls_area,area2,"{table: :mls_area, code: ' area2', label: 'Cody in Town '},",,,,,,,,,,
,Cody Out of Town,MlsArea,mls_area,area3,"{table: :mls_area, code: ' area3', label: 'Cody Out of Town '},",,,,,,,,,,
,Meeteetse,MlsArea,mls_area,area4,"{table: :mls_area, code: ' area4', label: 'Meeteetse '},",,,,,,,,,,
,Montana,MlsArea,mls_area,area5,"{table: :mls_area, code: ' area5', label: 'Montana '},",,,,,,,,,,
,N Big Horn in Town,MlsArea,mls_area,area6,"{table: :mls_area, code: ' area6', label: 'N Big Horn in Town '},",,,,,,,,,,
,N Big Horn Out of Town,MlsArea,mls_area,area7,"{table: :mls_area, code: ' area7', label: 'N Big Horn Out of Town '},",,,,,,,,,,
,Out of Area,MlsArea,mls_area,area8,"{table: :mls_area, code: ' area8', label: 'Out of Area '},",,,,,,,,,,
,Powell in Town,MlsArea,mls_area,area9,"{table: :mls_area, code: ' area9', label: 'Powell in Town '},",,,,,,,,,,
,Powell Out of Town,MlsArea,mls_area,area10,"{table: :mls_area, code: ' area10', label: 'Powell Out of Town '},",,,,,,,,,,
,S Big Horn in Town,MlsArea,mls_area,area11,"{table: :mls_area, code: ' area11', label: 'S Big Horn in Town '},",,,,,,,,,,
,S Big Horn Out of Town,MlsArea,mls_area,area12,"{table: :mls_area, code: ' area12', label: 'S Big Horn Out of Town '},",,,,,,,,,,
,Sunlight/Crandall,MlsArea,mls_area,area13,"{table: :mls_area, code: ' area13', label: 'Sunlight/Crandall '},",,,,,,,,,,
,,,,,,,,,,,,,,,
Property Status,Active,PropertyStatus,status,active,"{table: :status, code: ' active', label: 'Active '},",,,,,,,,,,
,Active with Contingency,PropertyStatus,status,active,"{table: :status, code: ' active', label: 'Active with Contingency '},",,,,,,,,,,
,Pending,PropertyStatus,status,under-contract,"{table: :status, code: ' under-contract', label: 'Pending '},",,,,,,,,,,
,Closed,PropertyStatus,status,sold,"{table: :status, code: ' sold', label: 'Closed '},",,,,,,,,,,
,Withdrawn,PropertyStatus,status,withdrawn,"{table: :status, code: ' withdrawn', label: 'Withdrawn '},",,,,,,,,,,
,Expired,PropertyStatus,status,expired,"{table: :status, code: ' expired', label: 'Expired '},",,,,,,,,,,
,Temporarily Off Market,PropertyStatus,status,temporarily-off-market,"{table: :status, code: ' temporarily-off-market', label: 'Temporarily Off Market '},",,,,,,,,,,
,Rented,PropertyStatus,status,rented,"{table: :status, code: ' rented', label: 'Rented '},",,,,,,,,,,
,,,,,,,,,,,,,,,
Property Type,Residential,PropertySubType,property_sub_type,propertysubtype1,"{table: :property_sub_type, code: ' propertysubtype1', label: 'Residential '},",,,,,,,,,,
,Residential Non MLS,PropertySubType,property_sub_type,propertysubtype2,"{table: :property_sub_type, code: ' propertysubtype2', label: 'Residential Non MLS '},",,,,,,,,,,
,Farm/Ranch (min 35 acres),PropertySubType,property_sub_type,propertysubtype3,"{table: :property_sub_type, code: ' propertysubtype3', label: 'Farm/Ranch (min 35 acres) '},",,,,,,,,,,
