Construction - Block,ConstructionType,construction_type,constype1,"{table: :construction_type, code: ' constype1', label: 'Block '},","'constype1' => 'Construction - Block',",,,,,,,
Construction - Concrete,ConstructionType,construction_type,constype2,"{table: :construction_type, code: ' constype2', label: 'Concrete '},","'constype2' => 'Construction - Concrete',",,,,,,,
Construction - Frame,ConstructionType,construction_type,constype3,"{table: :construction_type, code: ' constype3', label: 'Frame '},","'constype3' => 'Construction - Frame',",,,,,,,
Construction - ICFs (Insulated Concrete Forms),ConstructionType,construction_type,constype4,"{table: :construction_type, code: ' constype4', label: 'ICFs (Insulated Concrete Forms) '},","'constype4' => 'Construction - ICFs (Insulated Concrete Forms)',",,,,,,,
Construction - Log,ConstructionType,construction_type,constype5,"{table: :construction_type, code: ' constype5', label: 'Log '},","'constype5' => 'Construction - Log',",,,,,,,
Construction - Manufactured (Post-1976),ConstructionType,construction_type,constype6,"{table: :construction_type, code: ' constype6', label: 'Manufactured (Post-1976) '},","'constype6' => 'Construction - Manufactured (Post-1976)',",,,,,,,
Construction - Mobile (Pre-1976),ConstructionType,construction_type,constype7,"{table: :construction_type, code: ' constype7', label: 'Mobile (Pre-1976) '},","'constype7' => 'Construction - Mobile (Pre-1976)',",,,,,,,
Construction - Modular,ConstructionType,construction_type,constype8,"{table: :construction_type, code: ' constype8', label: 'Modular '},","'constype8' => 'Construction - Modular',",,,,,,,
Construction - Straw,ConstructionType,construction_type,constype9,"{table: :construction_type, code: ' constype9', label: 'Straw '},","'constype9' => 'Construction - Straw',",,,,,,,
Construction - Timber Frame,ConstructionType,construction_type,constype10,"{table: :construction_type, code: ' constype10', label: 'Timber Frame '},","'constype10' => 'Construction - Timber Frame',",,,,,,,
Construction - Steel Frame,ConstructionType,construction_type,constype11,"{table: :construction_type, code: ' constype11', label: 'Steel Frame '},","'constype11' => 'Construction - Steel Frame',",,,,,,,
Construction - On Permanent Foundation,ConstructionType,construction_type,constype12,"{table: :construction_type, code: ' constype12', label: 'On Permanent Foundation '},","'constype12' => 'Construction - On Permanent Foundation',",,,,,,,
Construction - Mobile/Manufactured,ConstructionType,construction_type,constype32,"{table: :construction_type, code: ' constype32', label: 'Mobile/Manufactured '},","'constype32' => 'Construction - Mobile/Manufactured',",,,,,,,
Construction - Structured Insulated Panels,ConstructionType,construction_type,constype33,"{table: :construction_type, code: ' constype33', label: 'Structured Insulated Panels '},","'constype33' => 'Construction - Structured Insulated Panels',",,,,,,,
Exterior Siding - Asbestos,ConstructionType,construction_type,constype14,"{table: :construction_type, code: ' constype13', label: 'Asbestos'},","'constype14' => 'Exterior Siding - Asbestos',",,,,,,,
Exterior Siding - Aluminum,ConstructionType,construction_type,constype13,"{table: :construction_type, code: ' constype14', label: 'Aluminum'},","'constype13' => 'Exterior Siding - Aluminum',",,,,,,,
Exterior Siding - Block,ConstructionType,construction_type,constype15,"{table: :construction_type, code: ' constype15', label: 'Block'},","'constype15' => 'Exterior Siding - Block',",,,,,,,
Exterior Siding - Brick,ConstructionType,construction_type,constype16,"{table: :construction_type, code: ' constype16', label: 'Brick'},","'constype16' => 'Exterior Siding - Brick',",,,,,,,
Exterior Siding - Cedar,ConstructionType,construction_type,constype17,"{table: :construction_type, code: ' constype17', label: 'Cedar'},","'constype17' => 'Exterior Siding - Cedar',",,,,,,,
Exterior Siding - Cedar Shake,ConstructionType,construction_type,constype18,"{table: :construction_type, code: ' constype18', label: 'Cedar Shake'},","'constype18' => 'Exterior Siding - Cedar Shake',",,,,,,,
Exterior Siding - Cement Fiber,ConstructionType,construction_type,constype19,"{table: :construction_type, code: ' constype19', label: 'Cement Fiber'},","'constype19' => 'Exterior Siding - Cement Fiber',",,,,,,,
Exterior Siding - Combination,ConstructionType,construction_type,constype20,"{table: :construction_type, code: ' constype20', label: 'Combination'},","'constype20' => 'Exterior Siding - Combination',",,,,,,,
Exterior Siding - Composite Wood,ConstructionType,construction_type,constype21,"{table: :construction_type, code: ' constype21', label: 'Composite Wood'},","'constype21' => 'Exterior Siding - Composite Wood',",,,,,,,
Exterior Siding - Concrete,ConstructionType,construction_type,constype22,"{table: :construction_type, code: ' constype22', label: 'Concrete'},","'constype22' => 'Exterior Siding - Concrete',",,,,,,,
Exterior Siding - Hardboard,ConstructionType,construction_type,constype23,"{table: :construction_type, code: ' constype23', label: 'Hardboard'},","'constype23' => 'Exterior Siding - Hardboard',",,,,,,,
Exterior Siding - Log,ConstructionType,construction_type,constype24,"{table: :construction_type, code: ' constype24', label: 'Log'},","'constype24' => 'Exterior Siding - Log',",,,,,,,
Exterior Siding - Log Siding,ConstructionType,construction_type,constype25,"{table: :construction_type, code: ' constype25', label: 'Log Siding'},","'constype25' => 'Exterior Siding - Log Siding',",,,,,,,
Exterior Siding - Shingle,ConstructionType,construction_type,constype26,"{table: :construction_type, code: ' constype26', label: 'Shingle'},","'constype26' => 'Exterior Siding - Shingle',",,,,,,,
Exterior Siding - Steel,ConstructionType,construction_type,constype27,"{table: :construction_type, code: ' constype27', label: 'Steel'},","'constype27' => 'Exterior Siding - Steel',",,,,,,,
Exterior Siding - Stone,ConstructionType,construction_type,constype28,"{table: :construction_type, code: ' constype28', label: 'Stone'},","'constype28' => 'Exterior Siding - Stone',",,,,,,,
Exterior Siding - Stucco,ConstructionType,construction_type,constype29,"{table: :construction_type, code: ' constype29', label: 'Stucco'},","'constype29' => 'Exterior Siding - Stucco',",,,,,,,
Exterior Siding - Vinyl,ConstructionType,construction_type,constype30,"{table: :construction_type, code: ' constype30', label: 'Vinyl'},","'constype30' => 'Exterior Siding - Vinyl',",,,,,,,
Exterior Siding - Wood,ConstructionType,construction_type,constype31,"{table: :construction_type, code: ' constype31', label: 'Wood'},","'constype31' => 'Exterior Siding - Wood',",,,,,,,
Exterior Siding - Aluminum Siding,ConstructionType,construction_type,constype13,"{table: :construction_type, code: ' constype13', label: 'Aluminum Siding '},","'constype13' => 'Exterior Siding - Aluminum Siding',",,,,,,,
Exterior Siding - Shingle Siding,ConstructionType,construction_type,constype26,"{table: :construction_type, code: ' constype26', label: 'Shingle Siding '},","'constype26' => 'Exterior Siding - Shingle Siding',",,,,,,,
Exterior Siding - Steel Siding,ConstructionType,construction_type,constype27,"{table: :construction_type, code: ' constype27', label: 'Steel Siding '},","'constype27' => 'Exterior Siding - Steel Siding',",,,,,,,
Exterior Siding - Vinyl Siding,ConstructionType,construction_type,constype30,"{table: :construction_type, code: ' constype30', label: 'Vinyl Siding '},","'constype30' => 'Exterior Siding - Vinyl Siding',",,,,,,,
Exterior Siding - Wood Siding,ConstructionType,construction_type,constype31,"{table: :construction_type, code: ' constype31', label: 'Wood Siding '},","'constype31' => 'Exterior Siding - Wood Siding',",,,,,,,
Cooling Type - Attic Fan,CoolingType,cooling_type,cooltype1,"{table: :cooling_type, code: ' cooltype1', label: 'Attic Fan '},","'cooltype1' => 'Cooling Type - Attic Fan',",,,,,,,
Cooling Type - Central Air,CoolingType,cooling_type,cooltype2,"{table: :cooling_type, code: ' cooltype2', label: 'Central Air '},","'cooltype2' => 'Cooling Type - Central Air',",,,,,,,
Cooling Type - None,CoolingType,cooling_type,cooltype3,"{table: :cooling_type, code: ' cooltype3', label: 'None '},","'cooltype3' => 'Cooling Type - None',",,,,,,,
Cooling Type - Other,CoolingType,cooling_type,cooltype4,"{table: :cooling_type, code: ' cooltype4', label: 'Other '},","'cooltype4' => 'Cooling Type - Other',",,,,,,,
Cooling Type - Swamp Cooler,CoolingType,cooling_type,cooltype5,"{table: :cooling_type, code: ' cooltype5', label: 'Swamp Cooler '},","'cooltype5' => 'Cooling Type - Swamp Cooler',",,,,,,,
Cooling Type - Window Unit(s),CoolingType,cooling_type,cooltype6,"{table: :cooling_type, code: ' cooltype6', label: 'Window Unit(s) '},","'cooltype6' => 'Cooling Type - Window Unit(s)',",,,,,,,
Exterior Features - Acreage Fenced,ExteriorFeature,exterior_feature,exteriorfeature1,"{table: :exterior_feature, code: ' exteriorfeature1', label: 'Acreage Fenced '},","'exteriorfeature1' => 'Exterior Features - Acreage Fenced',",,,,,,,
Exterior Features - Adj to BLM,ExteriorFeature,exterior_feature,exteriorfeature2,"{table: :exterior_feature, code: ' exteriorfeature2', label: 'Adj to BLM '},","'exteriorfeature2' => 'Exterior Features - Adj to BLM',",,,,,,,
Exterior Features - Adj to Bureau of Reclamation,ExteriorFeature,exterior_feature,exteriorfeature3,"{table: :exterior_feature, code: ' exteriorfeature3', label: 'Adj to Bureau of Reclamation '},","'exteriorfeature3' => 'Exterior Features - Adj to Bureau of Reclamation',",,,,,,,
Exterior Features - Adj to National Forest,ExteriorFeature,exterior_feature,exteriorfeature4,"{table: :exterior_feature, code: ' exteriorfeature4', label: 'Adj to National Forest '},","'exteriorfeature4' => 'Exterior Features - Adj to National Forest',",,,,,,,
Exterior Features - Adj to State Land,ExteriorFeature,exterior_feature,exteriorfeature5,"{table: :exterior_feature, code: ' exteriorfeature5', label: 'Adj to State Land '},","'exteriorfeature5' => 'Exterior Features - Adj to State Land',",,,,,,,
Exterior Features - Barn,ExteriorFeature,exterior_feature,exteriorfeature6,"{table: :exterior_feature, code: ' exteriorfeature6', label: 'Barn '},","'exteriorfeature6' => 'Exterior Features - Barn',",,,,,,,
Exterior Features - Cable,ExteriorFeature,exterior_feature,exteriorfeature7,"{table: :exterior_feature, code: ' exteriorfeature7', label: 'Cable '},","'exteriorfeature7' => 'Exterior Features - Cable',",,,,,,,
Exterior Features - Chain Link Fence,ExteriorFeature,exterior_feature,exteriorfeature8,"{table: :exterior_feature, code: ' exteriorfeature8', label: 'Chain Link Fence '},","'exteriorfeature8' => 'Exterior Features - Chain Link Fence',",,,,,,,
